Indirizzo,Comune,Numero,Note,Civico,Cap,Frazione/Località,Insegna,Categorie
Via Roma,Baselga di Piné,57,,9,38042,,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",[]
Via della Chiesa,Baselga di Piné,58,, 6/3,38042,Miola,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",[]
Via dei Piani,Baselga di Piné,59,,54,38042,Faida,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",[]
Via Cesare Battisti,Baselga di Piné,60,,93,38042,,FARMACIA MORELLI S.N.C. DI MORELLI DOTT. GIUSEPPE & C.,['FARMACIA']
Via Cesare Battisti,Baselga di Piné,61,,86,38042,,ORTOFRUTTA - GRAPPOTECA DI ZANEI GIUSEPPE & C. S.N.C.,[]
Via Pergine,Baselga di Piné,62,,14,38042,Montagnaga,CALZATURE CARLIN,['CALZATURE']
Via Cesare Battisti,Baselga di Piné,63,,121,38042,,RIVENDITA TABACCHI N. 5 DI BROSEGHINI CATERINA,['TABACCHI']
Corso Roma,Baselga di Piné,64,,84,38042,,OTTICI DEFLORIAN MARANGONI DI MARANGONI DONATELLA,[]
Corso Roma,Baselga di Piné,65,,2,38042,,BAZAR IORIATTI LINO & C. S.N.C.,['BAZAR']
,Baselga di Piné,66,,96,38042,Rizzolaga / Campolongo,MINIMERCATO DALSANT GIUSEPPINA & C. SAS,[]
Corso Roma,Baselga di Piné,67,,77,38042,,PANIFICIO ANESI DI ANESI ALESSANDRO,['PANIFICIO']
Corso Roma,Baselga di Piné,68,,34,38042,,MACELLERIA FRANCESCHI ANDREA E C. SNC,['MACELLERIA']
Corso Roma,Baselga di Piné,69,,47,38042,,ORTOFRUTTA ALIMENTARI RAVANELLI RENZO,['ALIMENTARI']
Piazzetta Agostiniani,Trento,70,,1,38122,,COLTELLERIA S. MARCO F.LLI VALENTINI SNC,[]
Via Santa Croce,Trento,71,,16,38122,,ANTICA TRATTORIA AL VOLT DI DANIELA CARESIA,[]
Piazza Fiera,Trento,72,esercizio commerciale,7,38122,,NATURERBE S.N.C.,[]
Via San Marco,Trento,73,,22,38122,,LA CANTINOTA RISTORANTE,['RISTORANTE']
Via Caduti Malga Zonta,Folgaria,74,,7,38064,Passo Coe,OSTERIA COE DI PLOTEGHER CHRITIAN,[]
Via E. Colpi,Folgaria,75,bar,52,38064,,JOHN CLUB SAS DI SCHÖNSBERG GIOVANNI & C.,['BAR']
Via Martinella,Folgaria,76,,53,38064,Serrada,RISTORANTE BAR HOTEL MARTINELLA DI PLOTEGHER STEFANO,"['BAR', 'RISTORANTE', 'HOTEL']"
Via E. Colpi,Folgaria,77,,108,38064,,RISTORANTE BAR ALBERGO TOMASI DI TOMASI MASSIMILIANO,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via E. Colpi,Folgaria,78,,131,38064,,CASALINGHI MARTINO S.A.S. DI PERGHER GELMI BRUNA E FIGLI,[]
